Date,삼성전자,SK하이닉스,신라젠,삼성전기,셀트리온헬스케어,에이치엘비,현대차,LG화학,삼성바이오로직스,NAVER,POSCO,LG전자,삼성SDI,엔씨소프트,카카오,LG디스플레이,삼성전자우,KB금융,아모레퍼시픽,현대모비스,현대건설,헬릭스미스,한국전력,네이처셀,삼성물산,롯데케미칼,신한지주,필룩스,현대엘리베이,SK이노베이션,SK텔레콤,텔콘RF제약,호텔신라,하나금융지주,넷마블,국일제지,현대로템,LG생활건강,기아차,대아티아이,한국조선해양,아난티,KT&G,한국항공우주,SK,LG이노텍,S-Oil,삼성중공업,우리기술투자,LG유플러스,셀트리온제약,동성제약,한미약품,삼성엔지니어링,차바이오텍,한진칼,OCI,코오롱티슈진,삼성생명,뉴프라이드,미래에셋대우,에이치엘비생명과학,한화솔루션,삼성에스디에스,현대제철,CMG제약,삼성화재,에스모,이마트,롯데쇼핑,후성,에코프로,현대바이오,일진머티리얼즈,GS건설,엘비세미콘,파미셀,메디톡스,현대중공업지주,LG,휠라홀딩스,코웨이,아남전자,신세계,고려아연,대한항공,펄어비스,한올바이오파마,KT,두산인프라코어,영진약품,동진쎄미켐,삼화콘덴서,파라다이스,남선알미늄,인스코비,현대글로비스,빅텍,안랩,효성,비에이치,케이엠더블유,만도,기업은행,비덴트,대림산업,JYP Ent.,에이프로젠 KIC,좋은사람들,제넥신,PI첨단소재,아시아나항공,홈캐스트,현대미포조선,아모레G,한화에어로스페이스,키이스트,CJ제일제당,NH투자증권,이엔플러스,한국타이어앤테크놀로지,팬오션,금호석유,유한양행,한국금융지주,지엔코,스튜디오드래곤,휴젤,코스맥스,삼성증권,서울반도체,강원랜드,넥슨지티,메디포스트,코오롱생명과학,써니전자,푸른기술,에스엠,한온시스템,컴투스,HMM,두산중공업,메지온,네패스,녹십자셀,엘앤에프,삼천당제약,제이준코스메틱,디피씨,CJ ENM,에이티넘인베스트,HDC,CJ,셀루메드,한미사이언스,한샘,한국가스공사,앱클론,한국콜마,솔브레인홀딩스,인터플렉스,오리온,녹십자랩셀,대우건설,GS,대우조선해양,DB손해보험,오성첨단소재,젬백스,대한광통신,RFHIC,대웅제약,CJ대한통운,코오롱인더,롯데지주,금호타이어,한창,코디엠,미투온,보해양조,상상인,프로스테믹스,메리츠증권,하나투어,현대백화점,현대위아,대한유화,현대해상,CJ CGV,DB하이텍,SK머티리얼즈,테스,일진다이아,두산밥캣,GS리테일,원익IPS,오스코텍,명문제약,포스코엠텍,현대건설기계,SBI인베스트먼트,제룡전기,한화,안트로젠,경남제약헬스케어,유니크,내츄럴엔도텍,오르비텍,동양철관,AP시스템,테라젠이텍스,일신석재,지트리비앤티,웹젠,알테오젠,우리들제약,BNK금융지주,에스에프에이,휴림로봇,SCI평가정보,부산산업,인콘,이엠코리아,신신제약,코미팜,신세계인터내셔날,KCC,제일바이오,현대차2우B,와이지엔터테인먼트,한화생명,이화공영,드림시큐리티,아프리카TV,BGF,톱텍,인트론바이오,에스맥,포스코인터내셔널,코스모신소재,키움증권,한전KPS,이녹스첨단소재,SK네트웍스,시노펙스,와이제이엠게임즈,경농,마니커,위닉스,크리스탈지노믹스,주성엔지니어링,SKC,퍼스텍,오픈베이스,에이스테크,오이솔루션,서진시스템,한창제지,삼본전자,크리스탈신소재,모바일어플라이언스,신원,한일현대시멘트,파트론,알파홀딩스,모나미,로보로보,이오테크닉스,코스모화학,미스터블루,쌍용양회,웰크론,삼성출판사,두산,고려산업,HB테크놀러지,이지홀딩스,보락,SK디스커버리,SK증권,LS,에이프로젠제약,DSR제강,에스디생명공학,KD,유진기업,SFA반도체,NHN,마크로젠,대성파인텍,켐트로스,녹십자,파워로직스,현대상사,제일기획,용평리조트,DGB금융지주,드림어스컴퍼니,에스티큐브,바이오리더스,우리기술,LIG넥스원,세우글로벌,화천기계,이월드,팍스넷,보성파워텍,세종텔레콤,제이씨현시스템,F&F,아모텍,경인양행,맥쿼리인프라,위메이드,GKL,유니테스트,하이트진로,샘코,서희건설,폴루스바이오팜,한국화장품,삼성제약,엑사이엔씨,미코,바이넥스,헝셩그룹,동양물산,현대약품,다날,농심,신일전자,우성사료,자연과환경,삼양식품,엠씨넥스,고려시멘트,쏠리드,파루,오스템임플란트,라이브파이낸셜,더존비즈온,위지트,에스코넥,토박스코리아,풍산,풍국주정,덕산네오룩스,DSC인베스트먼트,남화토건,케이피엠테크
2019-01-02,38750,60600,73400,100000,67750,33859,114000,337000,374000,118000,237000,62800,210500,467000,20473,17800,31600,45950,193500,185000,53100,153567,34050,10599,104000,275000,39400,11129,69025,169000,272500,8030,73100,36150,106000,1160,26750,1081000,32800,7770,125500,19800,97600,32500,252000,83700,91300,7240,2635,17950,56893,16100,434372,17450,20600,29350,106500,43400,80300,1990,6370,8000,19192,206000,44000,3972,264500,35200,180000,202500,7090,31353,5510,39400,42150,4305,12800,517943,67500,68100,51100,74400,2820,248000,424000,21009,40660,34950,30400,7330,5940,6860,52200,18400,2945,5160,125500,2325,46150,47950,16600,11500,28850,13550,7245,87108,29050,7710,3879,70600,32200,17486,4570,58800,67744,32950,13450,331000,12350,5440,40750,4445,84400,38292,56900,1675,90800,126448,125000,31250,19650,30900,6370,36292,74400,2300,15156,51100,10500,125000,3750,7490,89800,10300,50900,33547,36750,10650,5560,196500,2000,16550,116000,11430,75230,67700,46350,21350,70000,22352,10400,111000,44600,5440,48500,33300,69500,2060,11600,5350,25750,185500,166500,56600,49950,5200,1434,761,5560,2095,14794,5250,4075,69200,87700,35600,147500,39850,36555,10500,146000,11800,27943,30700,39250,19450,21050,4828,6300,42300,683,8100,31000,69000,18220,7720,13000,4470,1455,21500,10300,2145,26650,21450,10303,7350,7000,34650,1025,1975,155500,7300,7430,7280,18263,178000,270846,1936,73600,45900,4215,6600,3190,38300,7960,7670,21276,1010,17600,14975,74600,32400,34511,5180,2900,2080,10350,722,14600,11771,6220,35450,2775,2150,5360,13295,17950,3200,3340,1030,2708,1925,41700,8130,11250,2640,1930,44450,11050,2330,6693,2840,11350,82318,2150,3195,5846,2030,25600,661,48600,1872,4210,8380,2286,6020,1370,57300,28450,1600,2520,136500,6220,27000,22300,5920,8050,6700,23100,11094,1080,38250,1755,1805,2500,7320,2485,469,4795,40100,17700,5800,9330,30600,23950,10550,16300,4270,1150,6260,10400,2510,1190,4795,9170,1115,1490,4755,3500,251000,1290,23800,1508,50100,13000,2500,3425,2690,51000,2710,51700,1095,1620,848,26550,21600,13400,2700,10500,1040
2019-01-03,37600,57700,71300,94000,66908,32617,116500,328000,376500,122000,237000,62900,203000,454500,20573,17800,30800,46450,194500,192000,53900,147307,34800,10408,104500,267500,39100,10340,71693,166500,275500,7810,72700,35550,104000,1130,28450,1095000,32850,7910,131500,20400,98800,33250,245500,81700,91000,7500,2625,18100,55678,15350,419909,17450,20050,29250,92300,41450,80600,1965,6360,7825,18417,205000,44350,3857,269500,33200,186500,202000,6740,30567,5240,37900,42250,4175,12100,490225,68200,68400,49750,74900,2735,241000,441500,20620,40600,31900,30500,7340,5780,6570,49200,18650,2945,4980,133000,2250,44550,48450,14950,11675,29350,13650,7191,88012,28300,6050,5038,66400,29800,17401,4430,61000,68841,33950,13200,328000,12100,5440,40300,4395,84500,37651,56800,1580,89900,122697,123500,30450,19450,31700,8280,35082,72600,2230,15628,50400,10600,123100,3670,7586,85500,10950,47950,33354,35400,10400,5400,191200,2030,15950,118500,11168,72919,66000,47350,20450,69600,21417,10050,118000,42500,5400,48350,33500,69500,1990,11450,5260,26150,180000,163000,55100,50500,5190,1379,745,5460,2295,14711,5060,4025,65800,87500,35950,139500,39700,36646,10100,138300,10700,27316,30500,39000,18050,19900,4697,6470,44300,677,9110,29950,64900,18440,7490,13000,4560,1470,21600,10050,2240,24450,20500,10203,7460,6880,34650,1005,1960,166500,6950,7250,7000,19310,175500,277869,1892,76200,45550,4155,7030,3195,37100,7860,7670,20174,997,17500,14297,72900,31750,32053,5490,2870,2110,10850,706,14250,11704,5790,34950,2780,2180,5300,13490,17950,3040,3265,1035,2713,2390,42100,8170,10750,2655,1875,41050,10676,2320,6606,2835,11450,79561,2115,3015,5826,2130,25000,641,46900,1852,4185,8350,2222,5840,1345,57400,28250,1590,2435,130500,5750,27800,22200,5920,8140,6380,22850,10645,1105,39900,1905,1815,2520,7260,2565,468,4605,37800,16800,5550,9280,30500,24200,9940,16200,4220,1170,5850,10200,2460,1240,4640,9590,1090,1531,4605,3490,268000,1300,23500,1566,47800,12400,2535,3305,2625,50700,2680,50300,1175,1640,819,26450,21700,13500,2650,10750,1020
2019-01-04,37450,58300,72000,92000,69712,32839,119500,330500,381000,125500,239000,62200,201000,464000,20774,18200,30450,45650,186000,199500,55000,150141,34300,10169,107000,256500,39000,10804,73693,169000,279500,7980,71200,35050,108500,1170,28100,1104000,34850,7770,138500,21650,100500,33700,248000,81300,92600,7750,2610,17950,57920,15550,435336,17550,20600,29450,90200,43050,81500,1940,6400,7875,18659,204500,45050,3938,272000,32450,194000,201000,6540,30715,5330,37450,42300,4260,12450,509415,70200,69500,49050,77100,2775,239500,453500,20977,39800,34200,30600,7480,5870,6520,48200,19650,3075,5130,138000,2290,45300,47300,14850,11825,29700,13350,6909,88464,30250,4240,5013,68400,29150,17593,4475,63100,66646,35050,13375,342000,12200,5670,40300,4465,81700,40307,57000,1605,88800,119184,126000,30750,18550,32850,9770,36695,75200,2250,15235,52200,11100,125100,3635,7657,86100,10600,49000,32727,36400,10250,5640,191500,2030,15700,119500,11255,75327,68000,48300,20400,70100,21873,9760,121500,43000,5380,49250,33300,70700,1990,11450,5270,26250,186000,163500,55000,50700,5280,1387,732,5510,2285,14170,5150,4105,67100,88200,38000,136000,39900,36147,10100,135600,10450,27461,30700,39950,16800,21100,4781,6400,45500,679,9200,29900,70000,18100,7490,12900,4600,1435,21100,10650,2270,25100,21500,10637,8770,6880,33600,999,1955,162500,7075,7500,7170,20996,180500,271724,1882,78400,48900,4150,7060,3275,37400,7840,7670,20800,984,17850,14297,74800,33500,31201,5650,2955,2110,10700,708,14800,12004,5650,35150,2760,2220,5420,13921,18650,3035,3310,1005,2798,2280,41150,8310,11150,2640,1900,39350,10863,2310,6463,2830,11350,78774,2085,3085,5866,2165,24900,650,47200,1844,4375,8400,2200,5760,1340,56800,28400,1575,2465,133000,5620,27500,22350,5920,8300,6280,23050,11094,1080,40750,1980,1835,2610,7450,2560,463,4490,38200,15900,5810,9300,35150,25250,9720,16850,4385,1150,6000,10400,2530,1235,4725,11400,1080,1519,4760,3440,276500,1300,23950,1557,49100,12300,2510,3365,2620,52500,2630,49450,1170,1645,815,26400,21800,12900,2683,10800,996
2019-01-07,38750,58700,71500,95500,69992,32395,120500,343000,388000,131500,246000,64200,217000,472500,20673,18400,32100,45450,186000,198500,57000,150850,34100,9978,108000,272500,38750,10943,73360,174000,276500,8040,71000,34850,110500,1165,28250,1086000,34200,7990,139000,21900,100000,32850,252000,85600,96300,7720,2685,18200,58013,15500,437265,18000,20350,29350,90100,41850,81700,1975,6710,7700,18950,205000,46300,3948,274500,33250,191500,203500,7010,32824,5560,39650,43400,4215,12100,505416,72400,70000,48100,74100,2795,240500,441000,21722,41000,33700,30450,7730,5930,6630,50100,20100,2930,5110,135500,2345,44950,47650,14700,11925,29800,13300,6800,88373,31350,3350,5021,67700,29850,17914,4470,61600,67145,34250,13600,340500,12750,6630,39750,4520,90400,41773,60400,1610,93000,119218,128000,31100,18650,32350,12700,36998,75200,2270,15904,53600,11050,125300,3765,7768,84400,10500,49050,34318,35100,10450,5590,199400,2165,15850,120000,11180,75038,66200,49450,19675,70900,22616,9950,122500,43200,5530,50300,32800,68400,2060,11450,5370,26350,183500,162000,58000,50400,5170,1422,740,5540,2115,14129,5170,4240,67800,88400,37850,148000,38800,36827,10050,137400,10700,27606,31800,38950,16900,20650,4865,7280,47050,699,9700,30900,70000,18080,7650,13000,4680,1505,22200,10600,2250,24200,20950,10637,8480,6850,33800,1025,2000,166000,7075,7500,7170,20312,176500,266456,1900,78000,48400,4190,7140,3307,37250,7720,7670,20525,1005,18750,14840,77600,34150,32383,5710,2975,2030,11200,738,14900,11737,5750,37300,2810,2270,5470,15250,18900,3095,3575,1040,2843,2370,42200,8270,11500,2745,1955,39550,11566,2330,6507,2875,11650,81137,2155,3045,6116,2155,24650,668,48550,1887,4540,8530,2393,5960,1385,59900,28700,1600,2530,138500,5740,28500,22200,6000,8200,6490,22400,10959,1100,39600,1940,1920,2605,7750,2620,467,4530,40550,16300,5900,9300,36200,24900,10000,16750,4360,1170,5990,10500,2550,1235,4660,11800,1080,1572,4830,3460,270500,1310,24650,1570,53400,12900,2585,3360,2640,53100,2650,49050,1170,1655,828,27750,21850,13450,2744,11200,1000
2019-01-08,38100,59200,70300,93100,68404,31774,119500,349500,386000,130000,245500,61900,218500,469000,20051,18900,30900,45500,188000,193000,57300,153450,35450,9930,107000,263000,38500,13354,74360,177000,276000,8120,69500,34750,109000,1125,28700,1084000,33800,8210,134000,26100,101000,33250,254000,84000,93500,7460,2595,17900,56798,15550,432926,17500,19900,28500,91700,41000,81500,1930,6590,7550,18805,202500,45700,3919,270000,32850,196000,201000,7010,32187,5270,38750,43350,4115,12250,495200,71900,68800,48100,74600,2695,236500,444500,21982,39920,33600,30200,7680,5900,6630,49600,19050,2715,5140,136500,2375,45750,48600,14850,11425,27300,13450,6764,87831,31500,3435,5147,67200,29800,18042,4390,59700,65249,33850,13575,335500,12500,6150,37150,4515,88700,42140,59300,1610,92000,115945,128000,30950,18500,32200,12700,38359,73100,2300,16258,52200,10500,121900,3770,7863,81700,10400,47800,33643,34600,10400,5960,195800,2110,15950,119000,10918,74845,63300,48450,18775,68400,22304,9900,123000,42500,5450,49900,31400,68700,1995,11100,5170,25300,191500,161500,57100,50500,5130,1492,730,5530,2105,13921,5100,4150,67700,87100,38350,144000,38050,36646,10300,141500,11250,27509,31600,38400,17200,20250,4847,7390,48250,696,9840,30050,69100,17760,7560,12600,4780,1620,22050,10500,2470,23950,20750,10603,8250,6740,33600,1030,1945,173500,7275,7540,7270,20039,174000,266456,1879,77500,48400,4155,7890,3293,38250,7650,7670,20324,995,18750,14568,76400,33200,32100,5720,2870,2095,11200,746,14550,11737,5590,36950,2870,2265,5130,15446,18150,2875,3500,1050,2733,2395,47000,8230,11550,2745,1965,38150,11472,2310,6661,2980,11400,81925,2170,3035,6056,2115,24850,670,48450,1844,4495,8690,2286,6070,1370,59400,28650,1645,2495,138000,5730,29950,22150,6160,8170,6380,21300,10645,1170,41350,1860,1860,2475,7790,2640,470,4585,39450,16550,5800,9300,37050,24000,10050,16600,4330,1175,5500,10850,2530,1240,4700,11800,1110,1589,4845,3450,276000,1340,25000,1615,59200,12550,2780,3160,2655,52500,2640,49550,1210,1630,848,27650,22950,13250,2757,11600,1015
2019-01-09,39600,63600,70500,98700,68684,32395,123000,352000,387000,133000,255500,63200,226500,474500,20473,19000,32500,46450,184000,202500,58500,143939,33550,10026,109000,272000,39350,13262,74694,180000,269500,8160,70700,35550,112000,1120,28700,1097000,34800,8230,135500,26500,102000,33500,255000,86600,94800,7400,2655,17600,57079,15850,435818,17950,19900,29400,95200,40950,82200,2505,6720,7725,19580,208500,49300,4053,270000,34150,199500,203000,7570,32775,5480,39900,44350,4180,12400,505950,71600,70300,47000,76100,2680,240500,442000,22046,42380,33600,29700,8180,6130,7100,55800,18800,2685,5360,137000,2360,46500,48600,15500,11525,29600,13650,7073,90361,31550,3300,5641,69300,31400,18128,4615,61600,66347,33650,13701,337500,12900,6350,37350,4675,88700,41498,60800,1670,94000,118877,126000,31300,19200,31850,12250,38006,73600,2405,16415,51200,11050,121700,3795,7966,81700,11200,48100,34896,35200,10550,5870,200000,2140,16300,120500,10980,74845,66600,49250,18850,68000,23264,10250,124000,42500,5670,50500,31400,66900,2165,11450,5220,25650,194500,165500,57500,51400,5140,1524,731,5670,2110,14544,5260,4225,69400,88400,39300,151000,37450,37372,10700,152100,11650,26882,32900,38350,18400,20350,4968,7440,51500,712,10800,31150,68400,17920,7460,13050,4850,1600,22400,10650,2475,24850,20400,10237,8290,6790,34100,1100,1975,174000,7300,7500,7420,20358,174000,258555,1902,79700,47300,4175,7920,3284,41850,7660,7670,20700,1010,19850,15247,78000,32050,35457,5740,2890,2020,11750,744,14950,11804,5820,37950,2965,2280,5170,14937,18100,2895,3480,1085,2723,2425,47050,8650,11350,2760,2070,39350,11846,2370,6650,3015,14800,82712,2235,3100,6185,2160,25050,671,52300,1891,4600,8810,2350,6140,1420,60700,28950,1675,2575,142000,5950,30500,22450,6200,8210,6600,21600,10779,1175,41300,1855,1880,2470,7840,2725,476,4755,39250,18550,5830,9300,37000,24550,10700,16700,4240,1200,6500,10950,2575,1245,4620,11850,1140,1684,4875,3490,271500,1340,25100,1628,57900,12800,2765,3250,2690,54900,2640,49400,1195,1690,1100,29200,23300,13550,2764,11850,1035
2019-01-10,39800,65300,72700,97200,69058,32972,123000,347000,388000,131000,258500,65600,227000,472000,20272,19800,32450,45500,184500,196000,58600,147248,34450,10026,108500,265000,38350,11778,73026,181500,271000,8050,69700,35400,114000,1170,27800,1091000,34300,7990,135000,25050,101500,33950,257000,85700,96900,7410,2680,17150,57079,15700,434372,17700,20000,28950,98000,40900,81100,2235,6760,7850,19580,205000,48900,4019,269000,34800,193500,206000,7520,32481,5450,40050,45150,4225,12750,507638,71200,70400,47100,75300,2675,241000,447500,21787,41220,33700,29400,8160,6080,7420,56300,18600,2565,5850,137500,2375,46400,49350,15300,11775,29900,13550,7227,87470,31500,3315,5331,69600,31300,17893,4565,61600,65848,33100,14126,337000,12850,6330,37000,4630,88300,41773,59100,1680,96300,119218,124500,31500,19300,31800,11950,37653,72600,2360,16061,51100,10800,115000,3750,7966,82600,11150,47500,35041,36100,10400,6130,208500,2225,16050,118000,11305,74941,67200,50000,19025,68100,23528,10150,118000,42900,5640,51000,32350,67800,2070,11450,5220,26350,195000,163000,56000,51600,5090,1477,728,5740,1945,14295,5330,4225,70600,88600,38650,150500,37600,37462,10900,148300,12000,27654,32950,35850,18400,21300,4959,7350,51700,715,10800,30300,67400,17440,8020,13150,4890,1565,22500,10900,2400,24600,20800,10287,8010,6680,34300,1115,2000,170000,7325,7720,7380,20267,172500,258994,1894,79000,48200,4175,7850,3270,41800,7470,7670,20250,1060,19750,15066,78100,32000,36402,5800,2925,2005,11400,737,14900,11637,5800,37800,2970,2260,5300,14859,17700,2800,3620,1110,2688,2290,45850,8670,11150,2760,2040,39600,11519,2375,6584,3030,18050,83894,2275,3250,6185,2170,25000,669,52100,1883,4510,8760,2307,6220,1445,60000,29100,1695,2580,139500,6360,29800,22750,6180,8050,6770,21400,10824,1190,41350,1810,1870,2440,7840,2715,469,4800,42000,18400,5780,9310,38600,24650,11000,16650,4230,1190,6700,10850,2600,1245,4605,11850,1125,1655,4920,3520,275000,1340,25100,1637,61000,12850,2695,3275,2670,55000,2740,50000,1170,1680,1430,29500,24150,13650,2781,11650,1050
2019-01-11,40500,65100,71500,98100,68684,32928,123000,349000,395500,131000,255500,66000,231000,489500,20473,19950,33100,45350,182000,196500,59200,146893,34700,10073,109000,272500,38450,11500,76361,179500,263500,7990,70400,35650,115500,1155,28300,1082000,33950,8320,134000,27850,102500,33650,255000,88800,98000,7460,2595,16750,57452,15300,426659,17650,19900,29550,96600,40400,82600,2260,6710,7775,20743,213500,48950,4067,267000,34600,191500,205000,7530,32187,5460,39700,43650,4185,12300,502662,70900,70800,48450,76800,2695,245000,448000,21527,40660,32700,29300,8140,6040,7450,56600,18650,2505,5530,136500,2400,45600,50200,15600,12475,29450,13650,7100,88464,30900,3235,5582,68800,33150,18042,4625,60300,66347,32800,13926,334500,12700,6170,37200,4620,91000,41407,59500,1685,95500,116968,124500,31200,19150,32250,10900,37451,73600,2395,16967,49950,11100,113900,3730,8085,82700,10950,46900,35619,38450,10500,5990,208700,2195,16250,119000,11055,73015,71200,52400,18825,67100,23096,10350,121000,42500,5570,51300,31700,67200,2085,11400,5400,26700,191000,168500,57900,50800,5130,1508,753,5750,1955,14337,5280,4275,71400,89900,38700,154500,37800,37372,10950,153000,11850,26833,32700,37000,18600,20550,4949,8950,51700,714,11050,31100,66200,17580,8180,13500,5200,1660,22400,10750,2490,24100,20050,10253,8030,6720,34100,1135,1995,177000,7225,7760,7440,20540,174000,260749,1923,78800,46450,4215,8130,3242,41100,7490,7670,19350,1015,19700,15428,77600,32550,37679,5780,2875,2005,12200,749,15400,11471,5960,38300,3035,2260,5750,15054,17700,2630,3575,1095,2728,2445,48500,8670,11250,2820,2030,39800,11659,2400,6672,3095,15700,83500,2280,3235,6205,2180,26550,669,52700,1914,4555,8820,2329,6330,1480,60800,29400,1695,2670,136000,6280,31450,21600,6270,8190,6660,20750,10779,1265,40750,1910,1890,2465,7840,2790,475,4820,41000,19900,6030,9350,38400,25200,10850,16450,4460,1225,6250,11100,2580,1255,4505,11600,1130,1742,4880,3505,283000,1370,25450,1690,61000,13350,2820,3375,2700,54400,2750,50200,1180,1725,1435,29450,23450,14500,2750,12000,1120
2019-01-14,40050,62100,70500,94100,66441,31507,121500,350500,403000,127000,250000,65900,232000,482500,20071,20000,33050,44550,185500,195000,60900,143999,34700,9978,109500,265000,38350,11221,80029,178000,267000,7840,75100,35100,113000,1255,29650,1102000,33800,8470,135000,27750,102000,33550,252000,86500,98200,7450,2550,16800,56238,15350,431480,17700,19450,29550,94600,38800,82200,2280,6730,7500,20889,216000,49250,4034,267500,34650,193000,206500,7380,31598,5390,39000,43450,4295,12050,499198,71100,70000,46800,76800,2665,253500,434000,21982,39060,32200,29200,8080,5940,7410,55300,18800,2645,5190,135500,2400,46950,49300,15450,12450,29850,13400,7000,86657,30900,3110,5591,66700,33300,18192,4455,60700,68741,32150,14026,343000,12650,5930,37400,4635,89100,40948,58300,1720,96000,117138,125500,31050,19200,32300,10900,37451,72900,2460,17754,50100,11300,108400,3750,8323,81900,11450,45600,34704,37300,10500,6140,211600,2180,16000,118500,10780,72244,71000,52200,18050,69700,23336,10250,121000,41400,5630,50800,32300,65800,2080,11250,5330,26800,190000,169000,56900,51000,5110,1492,758,5800,2015,14212,5170,4340,71000,90400,38650,154500,36750,36782,10850,146600,12000,27171,32500,36950,17550,20350,4893,9050,50500,711,11200,31600,63500,17580,8580,14150,5210,1695,22100,10550,2525,23550,20750,9770,8150,6670,33700,1140,1985,184500,7075,8000,7410,20449,181500,255921,1907,77800,46700,4195,8220,3237,40400,7470,7670,18800,1025,19550,15156,75400,34050,39144,5800,2915,2035,15850,770,15650,11237,5870,38200,3045,2330,5760,15133,18350,3415,3560,1095,2713,2515,51000,8680,11500,2800,2070,39100,11378,2420,6737,3145,16950,84682,2370,3155,6225,2260,26500,678,51800,1891,4560,8820,2286,6570,1470,60500,29200,1680,2675,133500,6730,32100,21600,6360,8140,6810,19900,10690,1300,39550,1985,1845,2525,7730,2875,472,4900,40500,19200,6030,9440,37300,25050,10650,16300,4535,1230,6210,11000,2575,1235,4940,11600,1120,1771,4830,3645,288500,1370,27000,1699,60300,13450,2875,3355,2700,53600,2775,49250,1180,1770,1865,28600,23600,14900,2714,12400,1125
2019-01-15,41100,64000,70500,97100,64572,31641,127500,356000,404000,132500,256500,65800,236500,475500,20051,19950,33850,46750,189500,202000,60900,145948,34800,10169,110500,268500,39700,11453,80029,180000,268500,7910,76100,36800,112000,1235,29650,1150000,34550,8600,138500,28600,100500,34350,259500,90100,96700,7580,2590,17050,55304,15300,431480,17950,19700,30600,95600,39000,83300,2260,7040,7575,20889,214500,50900,4086,271500,36350,197500,206500,7580,32236,5580,40300,43850,4275,12300,519099,71400,73200,47700,76300,2735,256000,434000,22176,38420,32450,29300,8300,5940,8200,58500,18900,2545,5200,140500,2465,46200,51800,15450,12650,31550,13700,7350,87831,32950,3105,5657,67100,33250,18213,4635,62300,68043,32750,14302,338500,13350,5960,38050,4635,89100,42781,62300,1785,94500,123515,126000,32050,19650,32200,13500,37905,73100,2440,18699,50800,11850,111800,3765,8362,83400,11500,46100,35427,37300,10850,6100,212900,2200,16300,118000,10868,71473,73100,52200,18375,68700,23696,10500,119000,41750,5670,51400,32500,67100,2115,11350,5320,26300,189500,170500,57500,51200,5200,1496,782,5940,1955,14212,5290,4370,70400,91100,39250,157500,37650,37100,10950,152700,12050,27171,33350,36700,17800,20300,5015,9200,51000,722,11350,32300,59100,17620,8580,14100,5250,1785,23000,10600,2555,24350,20550,9803,8150,6810,34350,1150,2010,185500,6925,8400,7350,20221,185000,256360,1910,80900,48350,4220,8260,3317,41000,7530,7670,18900,1070,19450,15202,79800,34250,40846,5820,3100,2105,16450,772,15300,11337,6010,38300,3025,2300,5750,15172,18700,3100,3660,1110,2743,2680,51300,8860,11500,2795,2110,39300,11612,2420,6672,3140,15650,85469,2395,3245,6076,2250,26150,694,54000,1887,4570,8770,2350,6700,1490,59800,29300,1695,2760,134500,6830,32800,22200,6600,8190,6900,21350,10690,1290,39900,2030,1855,2460,7690,2880,476,4925,40950,19600,6110,9490,38100,25000,11400,16250,4510,1255,6250,11100,2575,1245,5010,11550,1150,1796,4850,3645,288000,1375,27200,1757,59800,13350,2950,3375,2695,54900,2670,49900,1240,1765,1865,29300,24350,15050,2771,12450,1130
